Case_ID,Date,Rider_ID,Driver_ID,Trip_Amount,Issue_Type,Risk_Factors,Verification_Completed,Risk_Score,Case_Status,Resolution_Time_Hrs,Agent_Notes
C5000,2025-10-22,R10000,D2385,480.93,Payment Failure,"multiple_complaints, incomplete_verification",Yes,6,Review,117,Driver contacted
C5001,2025-09-15,R10001,D2386,320.86,Cancellation Issue,"high_value_trip, no_flag",Yes,2,Safe,77,Verified trip logs
C5002,2025-11-11,R10002,D2112,1096.75,Cancellation Issue,no_flag,Yes,2,Safe,31,Insufficient evidence
C5003,2025-10-31,R10003,D2100,104.67,Payment Failure,suspicious_pattern,Yes,5,Review,105,Escalated to TL
C5004,2025-09-21,R10004,D2112,343.97,Fraud,"suspicious_pattern, high_value_trip",Yes,8,Flagged - Escalate,75,Escalated to TL
C5005,2025-11-22,R10005,D2439,476.37,Fare Dispute,"no_flag, payment_mismatch",Yes,4,Safe,68,Refund initiated
C5006,2025-11-26,R10006,D2080,356.52,Fare Dispute,payment_mismatch,Yes,5,Review,98,Driver contacted
C5007,2025-11-14,R10007,D2186,596.83,Payment Failure,high_value_trip,Yes,2,Safe,102,Pending additional docs
C5008,2025-11-14,R10008,D2112,476.26,Cancellation Issue,incomplete_verification,Yes,3,Safe,110,Driver contacted
C5009,2025-11-27,R10009,D2001,301.4,Payment Failure,multiple_complaints,No,6,Review,4,Identity mismatch found
C5010,2025-09-24,R10010,D2129,557.85,Fare Dispute,"multiple_complaints, suspicious_pattern",Yes,11,Flagged - Escalate,102,Customer provided receipt
C5011,2025-09-03,R10011,D2219,641.9,Fare Dispute,"no_flag, high_value_trip",Yes,2,Safe,19,Verified trip logs
C5012,2025-09-22,R10012,D2053,235.6,Fare Dispute,"incomplete_verification, payment_mismatch",Yes,7,Review,70,Verified trip logs
C5013,2025-10-23,R10013,D2342,411.87,Safety Concern,incomplete_verification,Yes,3,Safe,98,Driver contacted
C5014,2025-09-02,R10014,D2484,260.43,Cancellation Issue,suspicious_pattern,Yes,5,Review,82,Escalated to TL
C5015,2025-11-27,R10015,D2223,146.83,Safety Concern,suspicious_pattern,Yes,5,Review,13,Escalated to TL
C5016,2025-09-30,R10016,D2224,203.65,Fraud,high_value_trip,No,5,Review,105,Pending additional docs
C5017,2025-10-08,R10017,D2384,539.99,Incorrect Route,payment_mismatch,Yes,6,Review,23,Identity mismatch found
C5018,2025-09-02,R10018,D2402,269.88,Safety Concern,suspicious_pattern,Yes,5,Review,83,Verified trip logs
C5019,2025-11-03,R10019,D2125,537.66,Fraud,no_flag,Yes,2,Safe,109,Pending additional docs
C5020,2025-10-30,R10020,D2129,290.38,Payment Failure,"no_flag, suspicious_pattern",Yes,5,Review,75,Escalated to TL
C5021,2025-09-21,R10021,D2052,485.83,Safety Concern,suspicious_pattern,Yes,5,Review,1,Pending additional docs
C5022,2025-10-03,R10022,D2171,305.96,Cancellation Issue,"payment_mismatch, multiple_complaints",Yes,7,Review,88,Customer provided receipt
C5023,2025-11-15,R10023,D2217,147.34,Payment Failure,"high_value_trip, incomplete_verification",Yes,5,Review,54,Escalated to TL
C5024,2025-10-28,R10024,D2159,275.87,Incorrect Route,no_flag,No,3,Safe,71,Closed after verification
C5025,2025-09-22,R10025,D2197,554.2,Fare Dispute,"incomplete_verification, high_value_trip",Yes,6,Review,89,Identity mismatch found
C5026,2025-11-28,R10026,D2415,664.1,Incorrect Route,no_flag,Yes,2,Safe,85,Insufficient evidence
C5027,2025-10-19,R10027,D2246,353.02,Fraud,"suspicious_pattern, payment_mismatch",Yes,9,Flagged - Escalate,15,Verified trip logs
C5028,2025-10-29,R10028,D2323,403.04,Safety Concern,multiple_complaints,Yes,3,Safe,65,Refund initiated
C5029,2025-10-12,R10029,D2438,577.72,Fraud,"payment_mismatch, high_value_trip",Yes,6,Review,76,Customer provided receipt
C5030,2025-10-30,R10030,D2202,485.2,Incorrect Route,"no_flag, suspicious_pattern",Yes,5,Review,71,Payment gateway logs checked
C5031,2025-11-19,R10031,D2183,34.72,Fraud,high_value_trip,Yes,2,Safe,15,Insufficient evidence
C5032,2025-09-15,R10032,D2122,507.1,Safety Concern,"suspicious_pattern, payment_mismatch",No,14,Flagged - Escalate,21,Refund initiated
C5033,2025-11-01,R10033,D2400,490.42,Cancellation Issue,multiple_complaints,Yes,3,Safe,19,Escalated to TL
C5034,2025-11-01,R10034,D2254,802.4,Fare Dispute,"incomplete_verification, payment_mismatch",Yes,9,Flagged - Escalate,60,Payment gateway logs checked
C5035,2025-10-17,R10035,D2293,214.6,Fare Dispute,"no_flag, high_value_trip",No,5,Review,93,Driver contacted
C5036,2025-11-01,R10036,D2279,382.96,Fare Dispute,suspicious_pattern,Yes,5,Review,89,Driver contacted
C5037,2025-10-21,R10037,D2324,503.42,Fare Dispute,"payment_mismatch, no_flag",Yes,6,Review,33,Customer provided receipt
C5038,2025-10-25,R10038,D2371,650.96,Fare Dispute,"multiple_complaints, incomplete_verification",Yes,8,Flagged - Escalate,49,Driver contacted
C5039,2025-11-03,R10039,D2097,410.54,Fare Dispute,"incomplete_verification, payment_mismatch",Yes,7,Review,96,Payment gateway logs checked
C5040,2025-09-03,R10040,D2197,469.69,Cancellation Issue,suspicious_pattern,Yes,6,Review,113,Payment gateway logs checked
C5041,2025-10-21,R10041,D2469,1242.72,Fare Dispute,payment_mismatch,No,9,Flagged - Escalate,35,Identity mismatch found
C5042,2025-09-07,R10042,D2394,501.19,Safety Concern,"high_value_trip, multiple_complaints",Yes,5,Review,44,Insufficient evidence
C5043,2025-09-21,R10043,D2239,546.8,Payment Failure,no_flag,Yes,2,Safe,102,Verified trip logs
C5044,2025-11-12,R10044,D2143,134.6,Fraud,"payment_mismatch, no_flag",Yes,4,Safe,90,Closed after verification
C5045,2025-10-09,R10045,D2096,70.92,Cancellation Issue,"high_value_trip, suspicious_pattern",Yes,7,Review,11,Pending additional docs
C5046,2025-09-18,R10046,D2200,264.27,Fare Dispute,high_value_trip,Yes,2,Safe,99,Driver contacted
C5047,2025-09-04,R10047,D2123,333.04,Fare Dispute,"suspicious_pattern, incomplete_verification",Yes,8,Flagged - Escalate,72,Customer provided receipt
C5048,2025-11-28,R10048,D2186,271.1,Fare Dispute,"incomplete_verification, high_value_trip",No,5,Review,110,Driver contacted
C5049,2025-10-30,R10049,D2325,687.9,Fare Dispute,multiple_complaints,Yes,5,Review,78,Pending additional docs
C5050,2025-09-14,R10050,D2463,385.37,Safety Concern,no_flag,Yes,0,Safe,74,Insufficient evidence
C5051,2025-09-09,R10051,D2348,839.93,Fare Dispute,"high_value_trip, suspicious_pattern",Yes,7,Review,66,Identity mismatch found
C5052,2025-11-29,R10052,D2258,221.23,Fare Dispute,"suspicious_pattern, high_value_trip",Yes,8,Flagged - Escalate,46,Payment gateway logs checked
